Keyword,Script,Name,Description
wayback,"window.location=""http://wayback.archive.org/web/*/""+encodeURIComponent(location.href);",WayBack Machine QuickSearch,"The Internet Archive (IA) is a non-profit organization dedicated to maintaining an on-line library and archive of Web and multimedia resources. Located at the Presidio in San Francisco, California, this archive includes ""snapshots of the World Wide Web"" (archived copies of pages, taken at various points in time), software, movies, books, and audio recordings. To ensure the stability and endurance of the archive, IA is mirrored at the Bibliotheca Alexandrina in Egypt, the only library in the world with a mirror. The IA makes the collections available at no cost to researchers, historians, and scholars. It is a member of the American Library Association and is officially recognized by the State of California as a library."
cal,"window.location=""http://www.google.com/calendar/render"";",Google Calendar,""
ams,http://www.amazon.com/s/ref=nb_ss_dm_hp_nav_lk/002-8722033-4232026?initialSearch=1&url=search-alias%3Ddigital-music&field-keywords=(q),Amazon MP3 Quicksearch,"Amazon's answer to iTunes, AmazonMP3 serves up 256kbps DRM-free MP3s for 99 cents each."
acr,http://www.acronymfinder.com/af-query.asp?p=dict&String=exact&Acronym=(q),Acronym Quicksearch,""
to_get,"javascript:(function(){var x,i; x = document.forms; for (i = 0; i < x.length; ++i) x[i].method=""get""; alert(""Changed "" + x.length + "" forms to use the GET method.  After submitting a form from this page, you should be able to copy the resulting URL string and use it to make a new Queriac command.""); })();",Change method of all forms on current page to GET,"Want to convert a form on the web to a Queriac command? Rather than picking apart the HTML source of the form to construct a URL string, use this form to convert the form to GET. That way when you submit the form, you'll get the full URL string with all of the forms attributes right in your address bar, ready for for copying and pasting as the URL of your new Queriac command."
rd,http://www.onelook.com/?clue=(q),OneLook Reverse Dictionary,"Find a word by giving the definition. You can also use it to find crossword puzzle answers.

Examples..
rd barrel maker (""cooper"")
rd museum guide (""docent"")
rd m?z??t:composer (""Mozart"")
rd sat*:composer (""Satie"")"
pop,http://del.icio.us/popular/(q),Del.icio.us Popular Tag Search,""
ninja,http://ninjawords.com/(q),Ninjawords Search,"Ninjawords is a fast interface to Wiktionary. You can compare definitions by looking up many words at once by separating them with commas.

Usage
ninja copacetic
ninja adroit,deft,cunning"
hint,http://www.macosxhints.com/search.php?mode=search&type=all&keyType=all&query=(q),macosxhints.com Search,""
dish,javascript:void(open('http://del.icio.us/url/check?show=notes_only&url='+encodeURIComponent(location.href)));,Del.icio.us History for the Current Page (in a new window),"Used to be javascript:location.href='http://del.icio.us/url/check?url='+encodeURIComponent(location.href) , which uses the current window."
ws,http://wikislate.com/index.php?source=[:language]&term=(q),Translate a Word or Term to Many Languages (Wikislate),"Translate using Wikipedia and Google-did-you-mean. Read more at http://www.bonf.net/2007/06/09/translation-through-wikipedia/

ws vegetarian
ws -l fr conard
ws -l es mu̱eca"
wik,"window.location=""http://en.wiktionary.org/wiki/""+args.join("" "");",Wiktionary Word Lookup,""
